res1,res2,timestamp
,,06-15-2023_14-04-00
,,06-15-2023_14-04-01
,,06-15-2023_14-04-02
,,06-15-2023_14-04-03
,,06-15-2023_14-04-04
,,06-15-2023_14-04-05
,,06-15-2023_14-04-06
,,06-15-2023_14-04-08
,,06-15-2023_14-04-09
,,06-15-2023_14-04-10
,,06-15-2023_14-04-11
